Sample,Build size (MB),Build file count,Main bundle file,Main bundle size (MB),Main bundle gzipped size (MB),Main bundle brotli compressed size (MB),Load time (ms), Total runtime (ms), Loaded size (MB), JS heap size (MB)
CRA 4.0.3,48.60,404,39.a5c3edfb.chunk.js,1.71,0.46,0.36,12730,16027,6.12,21.74
Webpack 5.64.1,8.05,202,index.js,1.63,0.44,0.35,8315,18653,5.65,22.87
